"PLAN_CTRL_CD","PLAN_CTRL_NUM","MMS_COMPANY_NUM","BUS_ASC_NAME","PLAN_TYPE_CODE","PLAN_RECV_DATE","PLAN_COORDINATOR"
"N","5500","01482","JX Nippon Oil Exploration (U.S.A.) Limited","POE",8/27/1996,"AG"
"N","5501","01385","Chieftain International (U.S.) Inc.","POE",8/27/1996,"MT"
"N","5503","01643","UMC Petroleum Corporation","POE",8/29/1996,"AG"
"N","5504","01138","El Paso Production GOM Inc.","DOCD",8/30/1996,"MT"
"N","5505","00078","Chevron U.S.A. Inc.","POE",8/30/1996,"GN"
"N","5507","01689","Murphy Exploration & Production Company","POE",9/3/1996,"MT"
"N","5508","02010","BHP Billiton Petroleum (GOM) Inc.","POE",9/3/1996,"GN"
"N","5509","01207","Petrobras America Inc.","DOCD",9/3/1996,"AG"
"N","5510","01926","King Ranch Oil and Gas, Inc.","DOCD",9/3/1996,"MT"
"N","5511","02211","Newfield Exploration Gulf Coast LLC","DOCD",9/4/1996,"GN"
"N","5513","01643","UMC Petroleum Corporation","POE",9/6/1996,"MT"
"N","5515","01385","Chieftain International (U.S.) Inc.","POE",9/9/1996,"AG"
"N","5516","02219","Anadarko US Offshore LLC","POE",9/11/1996,"MT"
"N","5517","01551","Devon SFS Operating, Inc.","DOCD",9/11/1996,"GN"
"N","5519","01689","Murphy Exploration & Production Company","DOCD",9/11/1996,"MT"
"N","5520","01548","Tana Oil and Gas Corporation","POE",9/11/1996,"GN"
"N","5521","01548","Tana Oil and Gas Corporation","POE",9/11/1996,"AG"
"N","5522","00276","Exxon Mobil Corporation","DOCD",9/12/1996,"MT"
"N","5524","01551","Devon SFS Operating, Inc.","POE",9/12/1996,"AG"
"N","5525","00105","Apache Corporation","POE",9/16/1996,"MT"
"N","5527","01711","Cairn Energy USA, LLC","POE",9/16/1996,"AG"
"N","5528","02054","Tatham Offshore Development, Inc.","DOCD",9/19/1996,"MT"
"N","5530","01956","Seagull Energy E&P Inc.","DOCD",9/19/1996,"AG"
"N","5531","02018","Stone Energy, L.L.C.","POE",9/23/1996,"MT"
"N","5532","01689","Murphy Exploration & Production Company","POE",9/23/1996,"GN"
"N","5533","00689","Shell Offshore Inc.","DOCD",9/23/1996,"AG"
"N","5534","01138","El Paso Production GOM Inc.","DOCD",9/23/1996,"MT"
"N","5536","01956","Seagull Energy E&P Inc.","POE",9/24/1996,"AG"
"N","5537","01750","Pennzoil Exploration and Production Company","DOCD",9/25/1996,"MT"
"N","5538","00003","Union Oil Company of California","POE",9/26/1996,"GN"
"N","5540","00689","Shell Offshore Inc.","DOCD",9/30/1996,"MT"
"N","5541","01284","W & T Offshore, Inc.","DOCD",9/30/1996,"GN"
"N","5542","01767","PRS Offshore, L.P.","DOCD",9/26/1996,"AG"
"N","5543","01767","PRS Offshore, L.P.","DOCD",9/26/1996,"MT"
"N","5544","01904","Burlington Resources Offshore Inc.","POE",10/2/1996,"GN"
"N","5546","01089","Norcen Explorer, Inc.","POE",10/3/1996,"MT"
"N","5547","01777","Devon Louisiana Corporation","DOCD",10/3/1996,"GN"
"N","5548","01578","British-Borneo USA, Inc.","POE",10/4/1996,"AG"
"N","5550","00276","Exxon Mobil Corporation","POE",10/7/1996,"GN"
"N","5551","00105","Apache Corporation","POE",10/8/1996,"AG"
"N","5553","01046","The Houston Exploration Company","POE",10/10/1996,"GN"
"N","5555","00083","The Louisiana Land and Exploration Company","POE",10/11/1996,"MT"
"N","5556","00078","Chevron U.S.A. Inc.","POE",10/17/1996,"GN"
"N","5557","00003","Union Oil Company of California","DOCD",10/18/1996,"AG"
"N","5559","01956","Seagull Energy E&P Inc.","POE",10/15/1996,"GN"
"N","5560","01089","Norcen Explorer, Inc.","POE",10/15/1996,"AG"
"N","5562","01956","Seagull Energy E&P Inc.","POE",10/15/1996,"GN"
"N","5563","01643","UMC Petroleum Corporation","POE",10/15/1996,"AG"
"N","5564","00078","Chevron U.S.A. Inc.","DOCD",10/17/1996,"MT"
"N","5566","00689","Shell Offshore Inc.","DOCD",10/17/1996,"AG"
"N","5567","00105","Apache Corporation","POE",10/17/1996,"MT"
"N","5569","00276","Exxon Mobil Corporation","DOCD",10/23/1996,"AG"
"N","5570","01284","W & T Offshore, Inc.","DOCD",10/23/1996,"MT"
